Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_Final3rd,Carries_CPA,Carries_Mis,Carries_Dis,Rec_Targ,Rec,Rec%,Rec_Prog
130,Cody Drameh,eng ENG,DF,Leeds United,20-079,2001,1.4,94,3,37,44,22,2,68,2,4,50,2,0,45,282,163,9,4,0,0,1,46,42,91.3,2
131,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33-041,1989,12,437,362,435,3,0,0,266,0,0,,0,0,183,1087,604,0,0,0,0,0,155,155,100,0
132,Shane Duffy,ie IRL,DF,Brighton,30-055,1992,14,1017,181,649,372,49,20,997,2,2,100,2,0,598,2429,1256,20,6,0,2,1,736,717,97.4,2
133,Paul Dummett,wls WAL,DF,Newcastle Utd,30-152,1991,2.2,90,6,36,45,14,0,72,0,0,,0,0,42,151,72,4,2,0,0,1,36,36,100,0
134,Lewis Dunk,eng ENG,DF,Brighton,30-096,1991,15.6,1275,180,750,560,39,12,1245,2,2,100,2,0,859,4251,2048,26,3,0,1,4,976,964,98.8,1
135,Ederson,br BRA,GK,Manchester City,28-192,1993,25,765,635,755,11,0,0,645,0,0,,0,0,466,1934,1246,0,0,0,0,0,464,460,99.1,0
136,Odsonne Édouard,fr FRA,FW,Crystal Palace,24-040,1998,13.8,545,14,55,260,266,71,524,20,50,40,24,3,350,1767,1132,59,16,7,36,39,662,386,58.3,99
137,Anthony Elanga,se SWE,FW,Manchester Utd,19-304,2002,4.2,203,2,32,75,108,24,198,6,14,42.9,7,0,138,556,214,13,3,6,13,5,208,144,69.2,37
138,Harvey Elliott,eng ENG,MF,Liverpool,18-327,2003,3.1,250,1,22,121,127,18,243,2,7,28.6,2,0,186,900,537,27,13,2,5,2,204,190,93.1,23
139,Mohamed Elneny,eg EGY,MF,Arsenal,29-229,1992,2,131,7,33,78,29,3,130,0,1,0,0,0,100,453,177,4,0,0,3,0,94,90,95.7,1
140,Mohamed Elyounoussi,no NOR,MF,Southampton,27-205,1994,13.3,570,18,78,266,276,56,566,13,26,50,15,2,389,2407,1304,71,31,7,31,30,509,385,75.6,71
141,Emerson,br BRA,DF,Tottenham,23-042,1999,16.5,1196,69,384,470,401,41,1025,13,18,72.2,13,0,672,3076,1658,79,22,6,12,20,751,665,88.5,64
142,Oghenekaro Etebo,ng NGA,MF,Watford,26-108,1995,4.1,180,14,64,110,18,0,171,4,5,80,4,0,139,627,284,10,2,0,1,2,110,105,95.5,2
143,Jonny Evans,nir NIR,DF,Leicester City,34-053,1988,8.4,565,106,349,222,16,9,543,0,1,0,0,0,319,1480,687,9,3,0,1,0,348,338,97.1,0
144,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23-241,1998,1.6,91,0,9,50,36,0,87,1,2,50,1,0,59,269,133,9,2,0,4,4,86,65,75.6,17
145,Łukasz Fabiański,pl POL,GK,West Ham,36-313,1985,25,689,632,688,1,0,0,451,0,0,,0,0,269,1297,645,0,0,0,0,0,261,258,98.9,0
146,Fabinho,br BRA,MF,Liverpool,28-125,1993,17.9,1220,42,264,780,224,15,1198,5,7,71.4,5,0,758,3245,1585,82,16,2,18,12,833,803,96.4,26
147,Kiko Femenía,es ESP,DF,Watford,31-023,1991,15.5,970,78,317,413,292,9,771,6,11,54.5,6,2,471,2369,1195,51,20,3,12,9,511,458,89.6,10
148,Evan Ferguson,ie IRL,MF,Brighton,17-129,2004,0.3,9,0,0,1,8,0,9,0,0,,0,0,4,7,0,0,0,0,1,0,11,8,72.7,0
149,Nathan Ferguson,eng ENG,DF,Crystal Palace,21-142,2000,0.1,5,0,4,1,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100,0
150,Bruno Fernandes,pt POR,MF,Manchester Utd,27-170,1994,23.6,1605,45,252,748,701,75,1483,14,30,46.7,17,3,1052,5098,2945,146,50,12,20,38,1408,1159,82.3,139
151,Álvaro Fernández,es ESP,GK,Brentford,23-318,1998,12,533,440,528,7,0,0,416,0,0,,0,0,268,1204,730,0,0,0,0,0,273,273,100,0
152,Federico Fernández,ar ARG,DF,Newcastle Utd,33-004,1989,5.8,267,59,176,93,12,10,260,0,0,,0,0,170,845,506,0,0,0,0,1,178,174,97.8,2
153,Fernandinho,br BRA,MF,Manchester City,36-297,1985,6.8,562,17,86,381,129,11,559,7,8,87.5,7,0,437,1812,892,41,11,0,6,9,457,444,97.2,14
154,Roberto Firmino,br BRA,FW,Liverpool,30-146,1991,8.4,485,2,41,237,238,53,474,13,27,48.1,15,1,331,1366,697,50,18,3,20,20,518,370,71.4,107
155,Junior Firpo,es ESP,DF,Leeds United,25-187,1996,12,755,38,234,369,204,26,655,7,14,50,7,1,440,2134,1284,59,19,2,11,6,464,421,90.7,28
156,Ashley Fletcher,eng ENG,FW,Watford,26-146,1995,0.3,15,1,3,6,7,1,15,0,1,0,0,0,7,29,15,1,0,0,0,0,29,8,27.6,1
157,Phil Foden,eng ENG,FW,Manchester City,21-273,2000,14.9,926,5,41,340,596,93,851,22,32,68.8,23,2,707,3215,1550,90,30,28,18,37,912,727,79.7,114
158,Pablo Fornals,es ESP,MFFW,West Ham,26-003,1996,20.7,1084,18,154,528,464,51,1044,16,36,44.4,17,5,729,3723,1986,104,34,7,24,24,963,764,79.3,103
159,Adam Forshaw,eng ENG,MF,Leeds United,30-140,1991,12,662,17,200,379,125,7,643,5,12,41.7,5,0,425,2045,864,30,10,1,5,14,492,423,86,17
160,Marcus Forss,fi FIN,FWMF,Brentford,22-252,1999,2.3,69,0,3,36,33,10,66,2,4,50,2,0,27,95,47,3,0,0,6,1,89,41,46.1,17
161,Fraser Forster,eng ENG,GK,Southampton,33-345,1988,8,293,241,292,1,0,0,199,0,0,,0,0,127,652,379,0,0,0,0,0,112,112,100,0
162,Ben Foster,eng ENG,GK,Watford,38-328,1983,14,492,399,485,8,0,0,322,0,0,,0,0,206,1239,766,0,0,0,0,0,187,186,99.5,0
163,Ryan Fraser,sct SCO,MFFW,Newcastle Utd,28-001,1994,11.3,385,14,79,136,195,28,358,4,8,50,4,0,245,1202,709,45,14,7,7,7,359,257,71.6,36
164,Fred,br BRA,MF,Manchester Utd,28-357,1993,16.9,1182,59,298,706,227,11,1163,9,20,45,10,1,734,2845,1386,54,12,1,24,22,850,793,93.3,27
165,Ryan Fredericks,eng ENG,DF,West Ham,29-138,1992,1,48,8,17,23,9,0,41,0,1,0,0,0,11,53,33,1,1,0,2,1,20,17,85,2
166,Leo Fuhr Hjelde,no NOR,DF,Leeds United,18-183,2003,1.7,128,10,56,58,19,1,100,0,1,0,1,0,61,248,137,5,0,0,2,0,72,64,88.9,4
167,Conor Gallagher,eng ENG,MF,Crystal Palace,22-019,2000,21.4,1126,38,208,540,449,69,1034,34,49,69.4,36,1,747,3451,1425,75,25,11,36,40,823,685,83.2,87
168,Dwight Gayle,eng ENG,FW,Newcastle Utd,31-131,1990,0.3,12,0,0,7,6,1,12,0,0,,0,0,9,16,7,1,0,0,1,0,19,10,52.6,2
169,Jean-Philippe Gbamin,ci CIV,MF,Everton,26-153,1995,0.7,28,1,8,22,1,0,28,1,2,50,2,0,19,113,69,2,0,0,1,2,20,18,90,1
170,David de Gea,es ESP,GK,Manchester Utd,31-110,1990,26,698,650,698,0,0,0,451,0,0,,0,0,247,1063,548,0,0,0,1,0,253,251,99.2,0
171,Joe Gelhardt,eng ENG,FW,Leeds United,19-297,2002,4.4,136,1,12,72,65,28,123,11,24,45.8,14,0,107,546,341,21,4,6,9,8,168,82,48.8,27
172,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26-298,1995,4.3,183,3,16,64,117,17,180,3,12,25,5,2,119,626,416,27,6,4,21,10,203,136,67,29
173,Anwar El Ghazi,nl NED,FW,Everton,26-298,1995,0.1,11,0,1,2,8,2,9,0,1,0,0,0,6,21,10,1,0,1,1,0,10,6,60,2
174,Saman Ghoddos,ir IRN,MFDF,Brentford,28-172,1993,4.8,244,9,47,115,99,17,223,4,5,80,4,1,138,746,456,25,9,2,6,3,199,138,69.3,25
175,Dimitris Giannoulis,gr GRE,DF,Norwich City,26-131,1995,6.1,419,36,166,192,92,7,360,16,28,57.1,19,1,274,1424,797,28,5,3,12,5,251,228,90.8,20
176,Morgan Gibbs-White,eng ENG,FWMF,Wolves,22-029,2000,0.1,13,0,3,3,8,3,12,0,0,,0,0,7,18,12,1,1,0,0,0,9,8,88.9,3
177,Ben Gibson,eng ENG,DF,Norwich City,29-041,1993,20.7,1242,275,783,474,51,21,1203,2,4,50,2,0,717,3794,2353,53,12,0,3,3,837,828,98.9,1
178,Billy Gilmour,sct SCO,MF,Norwich City,20-259,2001,14,967,36,254,548,227,6,877,9,16,56.3,14,1,546,3065,1327,55,22,0,10,7,699,639,91.4,17
179,Ben Godfrey,eng ENG,DF,Everton,24-041,1998,16.5,782,97,346,340,141,24,697,4,8,50,5,0,379,2124,1057,35,18,1,7,6,414,374,90.3,15
180,André Gomes,pt POR,MF,Everton,28-210,1993,5.6,320,9,57,187,98,8,311,10,13,76.9,11,1,217,886,444,11,2,1,11,11,244,205,84,9
181,Toti Gomes,pt POR,DF,Wolves,23-040,1999,2,111,17,63,51,3,0,110,1,2,50,1,0,51,289,109,3,1,0,0,0,59,56,94.9,0
182,Joe Gomez,eng ENG,DF,Liverpool,24-278,1997,1.2,115,4,27,63,30,1,108,2,3,66.7,2,0,82,278,114,5,0,0,1,2,74,73,98.6,3
183,Charlie Goode,eng ENG,DF,Brentford,26-206,1995,5,337,20,122,163,74,11,262,5,7,71.4,5,0,163,1003,497,14,7,0,1,1,171,164,95.9,7
184,Anthony Gordon,eng ENG,MFFW,Everton,21-001,2001,12.9,595,12,93,240,313,47,564,18,32,56.3,20,4,392,2759,1434,69,25,9,29,22,513,382,74.5,53
185,Kaide Gordon,eng ENG,FW,Liverpool,17-143,2004,0.1,8,0,0,4,4,1,8,0,1,0,0,1,7,32,9,1,0,0,0,1,11,7,63.6,3
186,Dan Gosling,eng ENG,MF,Watford,32-024,1990,0.2,9,2,6,3,1,0,9,0,0,,0,0,3,5,5,0,0,0,1,0,4,4,100,0
187,Demarai Gray,eng ENG,MFFW,Everton,25-242,1996,17,723,8,65,290,443,65,676,28,57,49.1,29,3,545,3719,2139,118,43,24,39,31,693,500,72.2,107
188,Jack Grealish,eng ENG,FW,Manchester City,26-168,1995,14.1,818,8,48,315,532,128,801,20,36,55.6,22,0,718,5330,3291,206,47,60,16,28,843,687,81.5,130
189,Mason Greenwood,eng ENG,FWMF,Manchester Utd,20-147,2001,14.1,664,6,80,296,338,60,647,29,50,58,31,3,534,3452,2034,107,28,27,19,20,701,525,74.9,92
190,Sam Greenwood,eng ENG,MF,Leeds United,20-030,2002,0.1,8,0,1,5,3,0,8,0,0,,0,0,7,44,8,1,1,0,1,0,7,7,100,4
191,Pascal Groß,de GER,MFDF,Brighton,30-255,1991,13,921,30,174,401,386,36,814,4,8,50,5,1,544,2561,1103,63,19,3,14,14,699,610,87.3,58
192,Vicente Guaita,es ESP,GK,Crystal Palace,35-046,1987,21.5,718,651,717,1,0,0,555,0,0,,0,0,365,1462,720,0,0,0,0,0,341,341,100,0
193,Marc Guéhi,eng ENG,DF,Crystal Palace,21-227,2000,25,1809,282,1046,822,60,15,1774,10,12,83.3,10,0,1245,6880,3892,83,19,1,5,4,1308,1301,99.5,1
194,Bruno Guimarães,br BRA,MF,Newcastle Utd,24-101,1997,0.1,12,0,2,5,6,0,12,0,1,0,0,0,9,50,23,1,0,0,0,2,8,6,75,0
195,İlkay Gündoğan,de GER,MF,Manchester City,31-124,1990,14,970,15,102,480,454,72,896,16,23,69.6,17,2,679,3311,1510,83,31,9,11,14,853,750,87.9,92
196,Angus Gunn,eng ENG,GK,Norwich City,26-034,1996,6,211,177,211,0,0,0,132,0,0,,0,0,68,274,178,0,0,0,0,0,64,64,100,0
197,Grant Hanley,sct SCO,DF,Norwich City,30-097,1991,20.2,1062,232,704,371,25,18,1028,4,6,66.7,4,0,549,2245,989,15,1,0,4,1,611,597,97.7,1
198,Jack Harrison,eng ENG,MFFW,Leeds United,25-097,1996,18.5,913,23,173,372,443,64,893,30,64,46.9,32,4,699,4211,2691,144,40,22,45,46,833,646,77.6,92
199,Kortney Hause,eng ENG,DF,Aston Villa,26-224,1995,4.4,249,35,143,112,10,6,244,2,4,50,2,0,151,957,510,3,0,0,1,2,151,144,95.4,2
200,Kai Havertz,de GER,FWMF,Chelsea,22-259,1999,11.5,542,22,57,261,257,68,529,11,25,44,12,1,374,2036,1048,64,14,15,35,24,638,408,63.9,104
201,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26-340,1995,11.1,461,47,182,218,76,10,446,8,13,61.5,8,0,247,845,362,12,7,1,9,10,295,242,82,10
202,Hwang Hee-chan,kr KOR,FWMF,Wolves,26-030,1996,12.2,511,12,88,272,195,43,506,19,39,48.7,21,6,381,2298,1163,55,20,11,24,24,533,383,71.9,72
203,Jordan Henderson,eng ENG,MF,Liverpool,31-253,1990,19.3,1663,30,198,1039,528,38,1616,12,19,63.2,12,3,1105,5064,2294,98,49,4,15,12,1408,1294,91.9,92
204,Jeff Hendrick,ie IRL,MF,Newcastle Utd,30-025,1992,0.8,32,1,4,20,9,1,32,1,1,100,1,1,25,75,26,1,0,0,0,1,26,23,88.5,1
205,Wayne Hennessey,wls WAL,GK,Burnley,35-032,1987,2,87,69,83,4,0,0,51,0,0,,0,0,26,156,131,0,0,0,0,0,23,23,100,0
206,Rico Henry,eng ENG,DF,Brentford,24-232,1997,19.4,892,59,283,388,275,20,863,14,33,42.4,14,1,556,2565,1291,58,18,5,13,32,589,495,84,36
207,Son Heung-min,kr KOR,FWMF,Tottenham,29-232,1992,20.4,996,4,86,387,591,113,859,33,58,56.9,37,1,693,4156,2222,119,42,31,36,47,980,691,70.5,177
208,Ki-Jana Hoever,nl NED,DF,Wolves,20-038,2002,2.2,131,8,44,55,37,3,107,1,2,50,1,0,68,402,265,8,2,3,1,2,81,65,80.2,3
209,Rob Holding,eng ENG,DF,Arsenal,26-158,1995,4.8,300,54,175,126,14,5,293,1,2,50,1,0,174,813,403,4,2,0,1,3,189,184,97.4,0
210,Mason Holgate,eng ENG,DF,Everton,25-126,1996,10.8,513,78,280,239,20,2,472,1,1,100,1,0,208,1084,510,7,1,0,1,6,220,214,97.3,0
211,Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,21-110,2000,10.7,505,7,40,194,315,62,491,19,29,65.5,19,0,419,2972,1869,106,25,34,16,23,506,394,77.9,73
212,Will Hughes,eng ENG,MF,Crystal Palace,26-314,1995,9,504,25,131,285,113,6,469,6,12,50,7,0,305,1297,631,29,10,0,6,10,325,299,92,7
213,Pierre Højbjerg,dk DEN,MF,Tottenham,26-204,1995,21.5,1678,61,403,1073,300,22,1629,25,40,62.5,26,2,1172,5332,2842,95,26,1,17,18,1251,1182,94.5,37
214,Adam Idah,ie IRL,FWMF,Norwich City,20-351,2001,6.9,234,14,26,93,127,33,229,12,16,75,12,0,170,929,340,19,3,2,25,17,353,162,45.9,51
215,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,25-145,1996,7.1,302,4,25,150,143,33,294,9,21,42.9,10,2,226,975,586,33,9,6,26,15,406,224,55.2,55
216,Danny Ings,eng ENG,FW,Aston Villa,29-217,1992,13.7,388,11,38,165,198,77,368,10,21,47.6,11,1,217,906,463,23,8,5,34,9,511,239,46.8,74
217,Alex Iwobi,ng NGA,MFFW,Everton,25-298,1996,9.6,422,10,72,160,224,45,417,16,33,48.5,18,4,331,1859,1057,51,13,15,18,16,407,288,70.8,55
218,Daniel James,wls WAL,FW,Manchester Utd,24-107,1997,1.4,53,1,2,22,33,9,53,0,3,0,1,0,33,232,158,10,3,1,5,3,50,34,68,15
219,Daniel James,wls WAL,FWMF,Leeds United,24-107,1997,17.5,534,14,59,187,325,90,514,14,35,40,15,0,375,2449,1511,92,15,28,30,25,643,360,56,104
220,Reece James,eng ENG,DF,Chelsea,22-079,1999,12.4,1037,22,190,435,480,45,879,18,25,72,19,0,705,3122,1583,87,31,9,10,14,762,699,91.7,64
221,Vitaly Janelt,de GER,MF,Brentford,23-291,1998,16.2,817,49,261,411,185,22,767,9,13,69.2,10,1,448,2141,1045,39,10,3,14,10,578,471,81.5,24
222,Pontus Jansson,se SWE,DF,Brentford,31-012,1991,25.9,1305,307,850,471,38,28,1261,1,2,50,2,0,633,3147,1445,21,0,1,6,2,753,711,94.4,3
223,Mathias Jensen,dk DEN,MF,Brentford,26-055,1996,11.9,661,21,140,346,216,18,584,7,14,50,9,3,378,1658,795,36,14,0,12,17,478,381,79.7,35
224,Gabriel Jesus,br BRA,FW,Manchester City,24-328,1997,14.7,766,10,67,296,448,108,753,24,41,58.5,28,2,619,2994,1505,114,18,23,46,32,797,603,75.7,106
225,Raúl Jiménez,mx MEX,FW,Wolves,30-296,1991,21.2,882,26,87,491,354,105,842,29,75,38.7,34,0,596,2146,1056,64,15,15,66,44,1059,650,61.4,132
226,Joelinton,br BRA,MFFW,Newcastle Utd,25-195,1996,17.9,929,53,212,469,325,63,917,26,46,56.5,28,4,600,3112,1764,72,19,6,50,51,732,566,77.3,69
227,Ben Johnson,eng ENG,DF,West Ham,22-032,2000,9.4,608,60,226,268,144,7,501,6,11,54.5,8,0,316,1634,720,32,13,1,9,8,329,305,92.7,10
228,Curtis Jones,eng ENG,MF,Liverpool,21-026,2001,7.1,512,9,69,313,170,12,507,12,18,66.7,12,0,413,2241,1047,57,18,4,11,17,457,418,91.5,29
229,Phil Jones,eng ENG,DF,Manchester Utd,30-004,1992,1,60,10,22,35,6,0,60,0,0,,0,0,42,200,121,4,1,0,0,0,39,39,100,0
230,Jorginho,it ITA,MF,Chelsea,30-067,1991,17.8,1391,50,338,841,304,13,1364,6,7,85.7,7,1,933,3653,1719,62,23,0,9,22,1064,1024,96.2,25
231,Diogo Jota,pt POR,FW,Liverpool,25-083,1996,18.4,790,12,67,345,430,127,785,25,57,43.9,29,7,556,2743,1748,98,29,16,40,35,975,604,61.9,153
232,James Justin,eng ENG,DF,Leicester City,24-002,1998,2.8,179,18,84,72,35,3,159,1,5,20,2,0,98,403,229,7,3,0,1,1,114,101,88.6,5
233,Mathias Jørgensen,dk DEN,DF,Brentford,31-308,1990,4.8,317,19,122,139,72,3,254,0,0,,0,0,136,647,448,10,5,0,1,2,158,148,93.7,1
234,Ozan Kabak,tr TUR,DF,Norwich City,21-337,2000,8.2,418,61,268,166,15,5,406,11,15,73.3,11,0,269,1397,801,13,3,0,3,5,280,270,96.4,0
235,Christian Kabasele,be BEL,DF,Watford,31-001,1991,3.3,206,34,150,63,3,2,205,0,0,,0,0,124,530,258,4,0,0,0,0,136,136,100,0
236,Hassane Kamara,ci CIV,DF,Watford,27-159,1994,6.9,505,25,226,234,74,4,418,4,13,30.8,4,1,263,1381,635,19,6,0,6,4,248,231,93.1,8
237,Harry Kane,eng ENG,FW,Tottenham,28-212,1993,21.9,877,28,75,447,418,120,829,36,56,64.3,37,4,613,3271,1526,83,33,17,60,41,1112,673,60.5,172
238,N'Golo Kanté,fr FRA,MF,Chelsea,30-333,1991,11.5,841,24,189,420,294,19,838,20,30,66.7,20,0,606,3115,1692,68,29,4,14,17,690,633,91.7,54
239,Edo Kayembe,cd COD,MF,Watford,23-206,1998,4.3,264,13,71,167,48,2,259,3,7,42.9,3,0,179,1094,529,20,6,0,3,3,162,150,92.6,5
240,Moise Kean,it ITA,FW,Everton,21-362,2000,0,2,0,0,2,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,1,3,2,66.7,0
241,Michael Keane,eng ENG,DF,Everton,29-045,1993,22,1069,162,579,501,46,19,1053,4,6,66.7,4,0,531,3033,1389,38,6,0,4,2,577,558,96.7,4
242,Naby Keïta,gn GUI,MF,Liverpool,27-015,1995,7.5,551,11,75,327,180,17,542,9,11,81.8,9,0,401,2014,1213,67,16,7,11,8,452,403,89.2,22
243,Caoimhín Kelleher,ie IRL,GK,Liverpool,23-094,1998,2,94,72,94,0,0,0,75,0,0,,0,0,53,166,99,0,0,0,0,0,54,54,100,0
244,Jonjoe Kenny,eng ENG,DF,Everton,24-347,1997,5,262,10,70,132,71,6,209,3,4,75,3,1,131,465,211,13,4,3,3,3,128,118,92.2,6
245,Max Kilman,eng ENG,DF,Wolves,24-278,1997,25,1429,174,762,680,85,21,1397,12,15,80,12,0,899,4853,2812,89,21,1,6,8,943,924,98,5
246,Joshua King,no NOR,FW,Watford,30-041,1992,20.6,711,29,83,338,335,105,681,34,60,56.7,36,3,447,2470,1407,71,23,23,74,34,938,495,52.8,146
247,Mateusz Klich,pl POL,MF,Leeds United,31-257,1990,15.3,782,24,140,382,309,48,766,13,17,76.5,14,0,537,3022,1475,78,23,6,17,19,687,543,79,102
248,Robin Koch,de GER,MFDF,Leeds United,25-223,1996,7.3,322,53,173,142,22,3,316,2,2,100,2,0,158,671,336,4,2,0,1,1,180,168,93.3,2
249,Sead Kolašinac,ba BIH,DF,Arsenal,28-250,1993,1,27,8,19,8,0,0,25,0,0,,0,0,10,30,15,0,0,0,0,0,8,7,87.5,0
250,Ibrahima Konaté,fr FRA,DF,Liverpool,22-276,1999,7,479,60,222,271,10,4,474,0,0,,0,0,306,1402,807,21,0,0,2,1,320,311,97.2,2
251,Ezri Konsa,eng ENG,DF,Aston Villa,24-125,1997,20,831,147,487,331,57,31,806,5,6,83.3,5,0,478,2156,1107,21,6,0,8,5,530,496,93.6,7
252,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,32-066,1989,16.7,811,69,290,462,92,6,797,9,15,60,10,0,461,1895,827,21,6,0,21,14,428,398,93,6
253,Mateo Kovačić,hr CRO,MF,Chelsea,27-295,1994,12.7,972,21,201,603,256,15,955,23,28,82.1,24,0,729,3988,2039,92,44,5,10,21,770,737,95.7,20
254,Emil Krafth,se SWE,DF,Newcastle Utd,27-207,1994,7.5,330,37,170,105,70,4,277,2,2,100,2,0,161,836,468,15,4,1,1,1,181,164,90.6,2
255,Alex Král,cz CZE,MF,West Ham,23-282,1998,0,2,0,0,2,0,0,2,0,0,,0,0,1,4,0,0,0,0,0,0,0,0,,0
256,Tim Krul,nl NED,GK,Norwich City,33-328,1988,19,773,654,765,11,0,0,556,0,0,,0,0,330,1481,843,0,0,0,0,0,348,346,99.4,0
257,Juraj Kucka,sk SVK,MF,Watford,34-364,1987,16.5,773,65,238,403,171,19,749,15,27,55.6,17,6,365,1665,913,47,13,1,20,18,471,382,81.1,12
258,Dejan Kulusevski,se SWE,FWMF,Tottenham,21-306,2000,2.9,136,1,20,60,60,14,131,3,6,50,3,2,99,402,241,17,3,2,10,7,124,86,69.4,23
259,Alexandre Lacazette,fr FRA,FWMF,Arsenal,30-273,1991,13.4,490,1,52,221,248,80,481,15,27,55.6,15,1,306,1232,709,37,11,6,33,17,563,364,64.7,84
260,Adam Lallana,eng ENG,MF,Brighton,33-291,1988,16.7,1083,42,276,603,269,36,1075,17,25,68,18,0,773,3084,1359,61,17,4,21,20,838,771,92,63
