Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
364,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,35,35,3054,33.9,3,4,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,3.2,3.2,3.1,6.3,0.09,0.09,0.19,0.09,0.19,Matches,df0a4c90
365,Mathias Normann,no NOR,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16,1.0,1.0,1.8,2.8,0.05,0.10,0.15,0.05,0.15,Matches,8996350d
366,Martin Ødegaard,no NOR,MF,Arsenal,22,1998,36,32,2785,30.9,7,4,7,0,0,4,0,0.23,0.13,0.36,0.23,0.36,4.8,4.8,6.8,11.6,0.16,0.22,0.38,0.16,0.38,Matches,79300479
367,Angelo Ogbonna,it ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches,74b2cd7e
368,Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,26,12,1141,12.7,2,5,2,0,0,4,0,0.16,0.39,0.55,0.16,0.55,1.4,1.4,3.3,4.7,0.11,0.26,0.37,0.11,0.37,Matches,c4486bac
369,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e7ee38c3
370,Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matches,c393a6c4
371,Tyler Onyango,eng ENG,MFFW,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches,d86a1f3e
372,Frank Onyeka,ng NGA,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.10,0.02,0.11,0.10,0.11,Matches,2944f86f
373,Divock Origi,be BEL,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,0,0,0,0,2.03,0.00,2.03,2.03,2.03,1.6,1.6,0.0,1.6,1.08,0.00,1.08,1.08,1.08,Matches,43a166b4
374,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.25,0.14,0.25,Matches,38c7feef
375,Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39,Matches,dc7f8a28
376,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e0bc6fdc
377,Thomas Partey,gh GHA,MF,Arsenal,28,1993,24,23,2028,22.5,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,2.5,2.5,1.3,3.8,0.11,0.06,0.17,0.11,0.17,Matches,529f49ab
378,Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,20,5,696,7.7,1,2,1,0,0,0,0,0.13,0.26,0.39,0.13,0.39,2.9,2.9,1.7,4.6,0.38,0.22,0.60,0.38,0.60,Matches,57e3f0c7
379,Ricardo Pereira,pt POR,DF,Leicester City,27,1993,14,13,991,11.0,1,3,1,0,0,3,0,0.09,0.27,0.36,0.09,0.36,0.7,0.7,1.3,2.0,0.06,0.12,0.18,0.06,0.18,Matches,75a72a99
380,Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,14,6,445,4.9,2,3,2,0,0,0,1,0.40,0.61,1.01,0.40,1.01,1.5,1.5,0.9,2.4,0.31,0.18,0.49,0.31,0.49,Matches,819aa8e7
381,Sonny Perkins,eng ENG,FW,West Ham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,87f12e30
382,Romain Perraud,fr FRA,DF,Southampton,23,1997,20,18,1623,18.0,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,0.6,1.5,0.05,0.03,0.08,0.05,0.08,Matches,6dfd8f05
383,Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,20,18,1596,17.7,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches,4f565d77
384,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,19f4d211
385,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,3150,35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,4806ec67
386,Erik Pieters,nl NED,DF,Burnley,32,1988,12,8,730,8.1,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.8,1.0,0.02,0.10,0.13,0.02,0.13,Matches,1ef37668
387,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,32,32,2694,29.9,1,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,1.5,1.5,1.2,2.8,0.05,0.04,0.09,0.05,0.09,Matches,e541326e
388,Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,12,6,504,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.3,0.10,0.13,0.23,0.10,0.23,Matches,3c33f9d9
389,Daniel Podence,pt POR,FWMF,Wolves,25,1995,26,15,1484,16.5,2,3,2,0,0,2,0,0.12,0.18,0.30,0.12,0.30,1.9,1.9,3.8,5.8,0.12,0.23,0.35,0.12,0.35,Matches,7fcc71d8
390,Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,20,16,1349,15.0,1,9,1,0,0,7,1,0.07,0.60,0.67,0.07,0.67,2.4,2.4,3.5,6.0,0.16,0.24,0.40,0.16,0.40,Matches,867239d3
391,Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,3240,36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,4b40d9ca
392,Isaac Price,nir NIR,MF,Everton,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.03,0.00,1.03,1.03,1.03,Matches,b9403c99
393,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,8,3,3,4,0,0.30,0.08,0.39,0.22,0.30,11.5,9.2,2.8,12.0,0.32,0.08,0.39,0.25,0.33,Matches,0745b37d
394,Christian Pulisic,us USA,MFFW,Chelsea,22,1998,22,13,1290,14.3,6,2,6,0,0,2,0,0.42,0.14,0.56,0.42,0.56,5.1,5.1,1.2,6.3,0.35,0.08,0.44,0.35,0.44,Matches,1bf33a9a
395,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,45685411
396,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,34,3060,34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,466fb2c5
397,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,34,29,2467,27.4,6,1,6,0,0,6,0,0.22,0.04,0.26,0.22,0.26,3.8,3.8,2.0,5.8,0.14,0.07,0.21,0.14,0.21,Matches,1544f145
398,Raphinha,br BRA,FWMF,Leeds United,24,1996,35,34,2915,32.4,11,3,7,4,4,7,0,0.34,0.09,0.43,0.22,0.31,11.3,8.2,6.8,15.0,0.35,0.21,0.56,0.25,0.46,Matches,3423f250
399,Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,25,13,1235,13.7,4,2,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44,2.4,2.4,2.0,4.4,0.18,0.14,0.32,0.18,0.32,Matches,a1d5bd30
400,Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,31,25,2229,24.8,1,2,1,0,0,0,0,0.04,0.08,0.12,0.04,0.12,2.6,2.6,2.6,5.2,0.10,0.11,0.21,0.10,0.21,Matches,6c6a3300
401,David Raya,es ESP,GK,Brentford,25,1995,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,98ea5115
402,Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,27,20,1833,20.4,1,5,1,0,0,0,0,0.05,0.25,0.29,0.05,0.29,1.9,1.9,4.3,6.3,0.09,0.21,0.31,0.09,0.31,Matches,ab651565
403,Sergio Reguilón,es ESP,DF,Tottenham,24,1996,25,22,1916,21.3,2,3,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,3.0,3.0,4.0,7.0,0.14,0.19,0.33,0.14,0.33,Matches,3353737a
404,Declan Rice,eng ENG,MF,West Ham,22,1999,36,35,3179,35.3,1,4,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14,1.1,1.1,2.0,3.1,0.03,0.06,0.09,0.03,0.09,Matches,1c7012b8
405,Taylor Richards,eng ENG,MFFW,Brighton,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14,Matches,e0243d23
406,Richarlison,br BRA,FWMF,Everton,24,1997,30,28,2523,28.0,10,5,7,3,3,9,0,0.36,0.18,0.54,0.25,0.43,10.2,7.9,2.4,10.3,0.36,0.09,0.45,0.28,0.37,Matches,fa031b34
407,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches,7a1f2c08
408,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,18,14,1337,14.9,0,2,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.6,2.1,0.03,0.11,0.14,0.03,0.14,Matches,71ef519e
409,Connor Roberts,wls WAL,DF,Burnley,25,1995,21,19,1692,18.8,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.2,0.2,1.1,1.3,0.01,0.06,0.07,0.01,0.07,Matches,24fae784
410,Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.3,3.7,0.22,0.11,0.34,0.22,0.34,Matches,6c17e046
411,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,29,29,2537,28.2,3,10,3,0,0,5,1,0.11,0.35,0.46,0.11,0.46,1.9,1.9,5.2,7.1,0.07,0.19,0.25,0.07,0.25,Matches,2e4f5f03
412,Joe Rodon,wls WAL,DF,Tottenham,23,1997,3,0,89,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8d62d31a
413,Rodri,es ESP,MF,Manchester City,25,1996,33,33,2884,32.0,7,2,7,0,0,5,0,0.22,0.06,0.28,0.22,0.28,2.6,2.6,1.4,4.0,0.08,0.04,0.12,0.08,0.12,Matches,6434f10d
414,Rodrigo,es ESP,MFFW,Leeds United,30,1991,31,27,2265,25.2,6,1,5,1,1,9,0,0.24,0.04,0.28,0.20,0.24,4.9,4.1,4.6,8.8,0.19,0.18,0.38,0.16,0.35,Matches,1fb1c435
415,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,29,13,1382,15.4,2,2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,4.7,4.7,1.9,6.6,0.30,0.12,0.43,0.30,0.43,Matches,4ab53cdb
416,Mads Roerslev,dk DEN,DF,Brentford,22,1999,21,12,1240,13.8,1,1,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,0.3,0.3,0.8,1.1,0.02,0.06,0.08,0.02,0.08,Matches,57c94db2
417,Cristian Romero,ar ARG,DF,Tottenham,23,1998,22,21,1844,20.5,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.5,1.1,0.03,0.02,0.05,0.03,0.05,Matches,a3d94a58
418,Oriol Romeu,es ESP,MF,Southampton,29,1991,36,34,2889,32.1,2,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,2.8,4.1,0.04,0.09,0.13,0.04,0.13,Matches,4b511457
419,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,30,27,2456,27.3,18,3,15,3,3,8,0,0.66,0.11,0.77,0.55,0.66,16.5,14.2,3.1,17.3,0.61,0.11,0.72,0.52,0.64,Matches,dea698d9
420,Salomón Rondón,ve VEN,FW,Everton,31,1989,20,8,790,8.8,1,1,1,0,0,3,1,0.11,0.11,0.23,0.11,0.23,2.2,2.2,0.7,2.9,0.25,0.09,0.33,0.25,0.33,Matches,b318a643
421,Danny Rose,eng ENG,DF,Watford,31,1990,8,7,689,7.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.9,0.02,0.10,0.12,0.02,0.12,Matches,89d10e53
422,Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,13,0,223,2.5,0,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,0.4,0.4,0.3,0.7,0.16,0.14,0.30,0.16,0.30,Matches,8c12f884
423,John Ruddy,eng ENG,GK,Wolves,34,1986,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,da8b19e2
424,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,34,34,3035,33.7,3,0,3,0,0,9,0,0.09,0.00,0.09,0.09,0.09,2.8,2.8,1.1,3.9,0.08,0.03,0.12,0.08,0.12,Matches,18b896d6
425,Lukas Rupp,de GER,MF,Norwich City,30,1991,19,7,769,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.2,1.9,0.08,0.14,0.22,0.08,0.22,Matches,3faa1780
426,José Sá,pt POR,GK,Wolves,28,1993,37,37,3285,36.5,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,1.0,1.0,0.00,0.03,0.03,0.00,0.03,Matches,903b6e8b
427,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,35,31,2804,31.2,5,5,5,0,0,6,0,0.16,0.16,0.32,0.16,0.32,5.1,5.1,5.8,10.9,0.16,0.19,0.35,0.16,0.35,Matches,2b16cb1a
428,Romain Saïss,ma MAR,DF,Wolves,31,1990,31,31,2705,30.1,2,0,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,2.7,2.7,0.4,3.1,0.09,0.01,0.10,0.09,0.10,Matches,9fbbcf39
429,Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,38,36,2978,33.1,11,7,9,2,2,6,0,0.33,0.21,0.54,0.27,0.48,9.7,8.2,6.9,15.1,0.29,0.21,0.50,0.25,0.46,Matches,bc7dc64d
430,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,35,30,2762,30.7,23,13,18,5,6,1,0,0.75,0.42,1.17,0.59,1.01,21.8,17.1,10.1,27.2,0.71,0.33,1.04,0.56,0.89,Matches,e342ad68
431,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,34,33,2972,33.0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.5,2.3,0.06,0.02,0.07,0.06,0.07,Matches,0b33f6ad
432,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,19,12,1134,12.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.8,1.4,0.05,0.06,0.11,0.05,0.11,Matches,1b4f1169
433,Davinson Sánchez,co COL,DF,Tottenham,25,1996,23,17,1631,18.1,2,0,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,2.1,2.1,0.4,2.5,0.11,0.02,0.14,0.11,0.14,Matches,da7b447d
434,Robert Sánchez,es ESP,GK,Brighton,23,1997,37,37,3329,37.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches,6a713852
435,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,29,20,1900,21.1,3,3,3,0,0,0,0,0.14,0.14,0.28,0.14,0.28,3.3,3.3,4.2,7.5,0.16,0.20,0.36,0.16,0.36,Matches,dbf053da
436,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,10,3,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches,6e7f1353
437,Samir Santos,br BRA,DF,Watford,26,1994,19,19,1673,18.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.5,0.02,0.01,0.02,0.02,0.02,Matches,92b4758e
438,Josh Sargent,us USA,FWMF,Norwich City,21,2000,26,18,1572,17.5,2,1,2,0,0,1,0,0.11,0.06,0.17,0.11,0.17,2.8,2.8,0.7,3.5,0.16,0.04,0.20,0.16,0.20,Matches,a8d4428b
439,Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,5,1,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ac0d576d
440,Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,22,21,1861,20.7,5,2,5,0,1,2,0,0.24,0.10,0.34,0.24,0.34,4.3,3.5,2.6,6.1,0.21,0.12,0.33,0.17,0.29,Matches,bfdb33aa
441,Malang Sarr,fr FRA,DF,Chelsea,22,1999,8,6,546,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.01,0.06,0.07,0.01,0.07,Matches,4315f30d
442,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,21945a9e
443,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,25,25,2158,24.0,2,2,2,0,0,4,0,0.08,0.08,0.17,0.08,0.17,1.3,1.3,0.6,2.0,0.06,0.03,0.08,0.06,0.08,Matches,c8aa95da
444,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,32,20,1851,20.6,4,1,4,0,0,1,0,0.19,0.05,0.24,0.19,0.24,3.2,3.2,1.7,4.8,0.15,0.08,0.23,0.15,0.23,Matches,3312f911
445,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,37,3330,37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,53af52f3
446,Ken Sema,se SWE,MFFW,Watford,27,1993,18,7,852,9.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.0,1.2,0.02,0.10,0.12,0.02,0.12,Matches,1770bd68
447,Nélson Semedo,pt POR,DF,Wolves,27,1993,25,25,2131,23.7,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.4,1.4,1.2,2.6,0.06,0.05,0.11,0.06,0.11,Matches,d04b94db
448,Ryan Sessegnon,eng ENG,DF,Tottenham,21,2000,15,13,1047,11.6,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,2.9,3.3,0.03,0.25,0.28,0.03,0.28,Matches,6aa3e78b
449,Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,14,7,709,7.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches,8d03ca5a
450,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,20,19,1601,17.8,0,3,0,0,0,8,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,3.2,3.4,0.01,0.18,0.19,0.01,0.19,Matches,9c94165b
451,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,24,22,1983,22.0,2,1,2,0,0,7,1,0.09,0.05,0.14,0.09,0.14,0.9,0.9,0.8,1.7,0.04,0.04,0.08,0.04,0.08,Matches,3727dd3c
452,Shola Shoretire,eng ENG,FW,Manchester Utd,17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,00f0482f
453,Francisco Sierralta,cl CHI,DF,Watford,24,1997,5,5,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,0f933743
454,Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,35,33,2857,31.7,8,4,8,0,0,6,0,0.25,0.13,0.38,0.25,0.38,6.6,6.6,5.0,11.7,0.21,0.16,0.37,0.21,0.37,Matches,3eb22ec9
