Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotalDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,FinalThird,PPA,CrsPA,Prog
104,Adam Webster,eng ENG,DF,Brighton,27-040,1995,12,63.3,75.8,83.5,1365.1,477.8,16.4,18.8,87.6,36.7,39.8,92.2,9.5,15.6,61,0,0.01,-0.01,0.08,6.58,0.08,0,4.92
105,Robert Sánchez,es ESP,GK,Brighton,24-087,1997,22,31.2,42.8,73,891.2,456,5.14,5.18,99.1,16.1,16.5,97.8,10,21.1,47.4,0,0.02,-0.02,0.14,0.68,0.05,0,0
106,Jason Steele,eng ENG,GK,Brighton,31-179,1990,1,34,38,89.5,824,323,8,8,100,19,19,100,7,11,63.6,0,0,0,0,0,0,0,0
107,Ashley Barnes,eng ENG,FW,Burnley,32-106,1989,4.3,13.7,20.9,65.6,209.8,55.8,8.84,11.9,74.5,3.72,5.35,69.6,1.16,2.33,50,0,0.19,-0.19,1.63,2.09,0.7,0,1.86
108,Jay Rodriguez,eng ENG,FW,Burnley,32-199,1989,6.3,11.6,17.6,65.8,162.9,41.6,7.78,10.5,74.2,2.38,5.08,46.9,0.95,1.27,75,0.16,0.19,-0.03,0.95,1.43,0,0,1.11
109,Matěj Vydra,cz CZE,FW,Burnley,29-288,1992,5,9.6,14.4,66.7,112,22.6,6,8.8,68.2,2,2.8,71.4,0.2,0.4,50,0.2,0.04,0.16,0.8,0.2,0,0,0.6
110,Wout Weghorst,nl NED,FW,Burnley,29-190,1992,2,18.5,27,68.5,208,63,12.5,15.5,80.6,3.5,6,58.3,0.5,1.5,33.3,0.5,0.2,0.3,0.5,1,0.5,0,2.5
111,Chris Wood,nz NZL,FW,Burnley,30-068,1991,15.2,12,20.1,59.5,175.5,37.4,7.89,12.3,64.2,3.09,5.33,58,0.79,0.99,80,0,0.01,-0.01,0.46,1.12,0.33,0,1.25
112,Maxwel Cornet,ci CIV,FWMF,Burnley,25-139,1996,8.5,13.9,21.9,63.4,194.9,44.9,8.47,12,70.6,3.76,5.29,71.1,0.82,2.71,30.4,0,0.07,-0.07,0.71,0.47,0.71,0.24,1.41
113,Aaron Lennon,eng ENG,MFFW,Burnley,34-303,1987,4.9,13.1,18.4,71.1,192.4,41,7.76,8.78,88.4,4.69,6.53,71.9,0.61,2.04,30,0,0,0,0,0.61,0.2,0,1.22
114,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,31-109,1990,12.2,17.9,28.3,63.2,285.8,74,11,13.5,81.2,4.75,7.3,65.2,1.8,5.16,34.9,0.08,0.02,0.06,0.49,0.49,0.98,0.9,1.07
115,Josh Brownhill,eng ENG,MF,Burnley,26-056,1995,15.4,25.6,34.5,74.4,445.1,106.4,13.2,15.9,82.9,8.83,11.3,78.2,3.05,5.71,53.4,0,0.06,-0.06,0.97,2.34,0.52,0,2.86
116,Jack Cork,eng ENG,MF,Burnley,32-233,1989,7.1,18.6,26.3,70.6,295.5,68.7,10.8,14.5,74.8,5.07,7.04,72,1.97,3.24,60.9,0,0,0,0.14,1.55,0.14,0,1.27
117,Dwight McNeil,eng ENG,MF,Burnley,22-083,1999,19.7,22.1,31.5,70.3,433.6,124.8,9.64,11.1,87.2,8.02,9.85,81.4,3.86,8.07,47.8,0.05,0.13,-0.08,1.32,1.78,1.37,0.86,1.73
118,Dale Stephens,eng ENG,MF,Burnley,32-246,1989,1.4,31.4,41.4,75.9,605,153.6,10.7,16.4,65.2,15.7,18.6,84.6,4.29,5,85.7,0,0,0,0.71,1.43,0.71,0,2.14
119,Ashley Westwood,eng ENG,MF,Burnley,31-318,1990,17.8,35.2,48.7,72.3,734.7,245.6,13.1,14.9,87.6,14.4,18.1,79.5,7.13,14,51,0.17,0.17,-0.01,1.46,4.33,1.46,0.11,4.33
120,Nathan Collins,ie IRL,DF,Burnley,20-289,2001,5,23.4,32.4,72.2,504.2,186.6,7.6,8.8,86.4,10.2,12.6,81,5,9.6,52.1,0,0.08,-0.08,0.6,1.8,0.2,0,1.6
121,Matthew Lowton,eng ENG,DF,Burnley,32-249,1989,16.8,30.2,44.1,68.6,589.4,284.5,15.1,17,88.8,9.94,13.5,73.9,4.88,11.7,41.8,0.12,0.07,0.05,0.65,3.21,1.19,0.48,4.05
122,Ben Mee,eng ENG,DF,Burnley,32-143,1989,16,26.3,35.6,73.8,638.4,239.3,6.69,7.63,87.7,12.6,14.8,85.2,6.69,12.2,54.9,0,0.01,-0.01,0.13,2.38,0.13,0,2.06
123,Erik Pieters,nl NED,DF,Burnley,33-190,1988,4.2,31.9,44,72.4,573.3,219,14.5,17.6,82.4,13.3,16,83.6,3.57,8.57,41.7,0,0,0,0,2.14,0.24,0,2.86
124,Connor Roberts,wls WAL,DF,Burnley,26-143,1995,3.2,22.2,38.4,57.7,438.1,206.9,10,10.9,91.4,7.5,13.8,54.5,4.38,12.2,35.9,0,0,0,0.31,2.19,1.56,0.31,3.44
125,James Tarkowski,eng ENG,DF,Burnley,29-086,1992,19,22.3,31.4,71,557.7,229.4,5.53,7.16,77.2,10.3,13.3,77.1,6.26,10.3,61,0.11,0.02,0.08,0.21,3.16,0.26,0,2.53
126,Charlie Taylor,eng ENG,DF,Burnley,28-148,1993,16,32.6,46.2,70.5,595.4,268.5,15.8,18.1,87.2,12,15.9,75.3,4.13,10.2,40.5,0.06,0.1,-0.04,0.75,2.31,1,0.69,3.13
127,Wayne Hennessey,wls WAL,GK,Burnley,35-020,1987,2,20,40,50,1059,926.5,0.5,0.5,100,4,4,100,15.5,35.5,43.7,0,0.05,-0.05,1.5,2.5,0,0,0
128,Nick Pope,eng ENG,GK,Burnley,29-300,1992,18,14.5,29.1,49.9,705.6,591.1,0.83,0.89,93.8,2.83,3,94.4,10.8,25.2,43,0,0.01,-0.01,0.11,1.44,0.06,0,0
129,Romelu Lukaku,be BEL,FW,Chelsea,28-276,1993,12.1,13.1,18.3,71.9,173.9,21.8,8.6,10.6,81.3,3.14,4.63,67.9,0.66,0.99,66.7,0,0.18,-0.18,1.24,0.33,0.66,0,0.83
130,Timo Werner,de GER,FW,Chelsea,25-344,1996,6.4,16.7,24.2,69,223,43.3,10.6,13,81.9,5,6.88,72.7,0.31,1.41,22.2,0.16,0.03,0.13,0.31,0.78,0.63,0,1.41
131,Kai Havertz,de GER,FWMF,Chelsea,22-247,1999,10.5,25.5,31.4,81.2,361.9,68.5,15.7,17.6,89.2,6.57,8.67,75.8,1.62,2.1,77.3,0.1,0.07,0.03,0.29,1.71,0.76,0.1,2.29
132,Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,21-098,2000,10.7,29.3,36.7,79.6,463.5,101.2,16.2,18.8,86.1,10.1,12.3,81.8,2.06,3.83,53.7,0.19,0.21,-0.03,2.24,0.84,1.87,0.47,2.9
133,Christian Pulisic,us USA,FWMF,Chelsea,23-148,1998,8.4,24.2,30.8,78.4,349.8,72.5,15.2,17.4,87.7,7.38,9.4,78.5,1.07,1.79,60,0,0.06,-0.06,0.95,0.95,0.71,0,1.79
134,Hakim Ziyech,ma MAR,FWMF,Chelsea,28-331,1993,8.7,32.6,45.5,71.7,548.9,185.5,17.5,20.1,86.9,11.1,14.8,75.2,2.87,7.47,38.5,0.23,0.24,-0.01,1.95,3.45,1.84,0.57,5.06
135,Mason Mount,eng ENG,MFFW,Chelsea,23-034,1999,16,33.9,44.4,76.3,517.3,158.6,19.3,21.8,88.5,10.3,12.9,79.2,2.63,6,43.8,0.38,0.26,0.11,2.13,2.06,1.94,0.44,3.94
136,Saúl Ñíguez,es ESP,MFFW,Chelsea,27-084,1994,1.8,57.8,67.2,86,1043.9,157.8,26.7,28.9,92.3,22.8,26.7,85.4,7.22,10,72.2,0,0,0,0,3.33,0,0,1.11
137,Ross Barkley,eng ENG,MF,Chelsea,28-070,1993,1.7,52.9,64.7,81.8,882.4,201.2,29.4,32.4,90.9,15.3,18.8,81.3,6.47,8.24,78.6,0,0.29,-0.29,4.12,3.53,3.53,0,5.88
138,Jorginho,it ITA,MF,Chelsea,30-055,1991,16.9,61.8,69.6,88.8,1102.2,267.9,26.4,28.8,91.8,28.3,30.8,92.1,5.74,8.05,71.3,0.06,0.12,-0.07,0.83,5.33,1.36,0,5.15
139,N'Golo Kanté,fr FRA,MF,Chelsea,30-321,1991,10.7,51.9,61.4,84.5,881.7,235,25.5,29,88.1,21,24.3,86.5,4.3,5.42,79.3,0.19,0.08,0.1,0.75,4.3,1.5,0,6.17
140,Mateo Kovačić,hr CRO,MF,Chelsea,27-283,1994,12.5,58.8,66.2,88.8,1095.9,253.3,25.8,27.9,92.6,24.4,26.6,91.6,7.6,10,76,0.4,0.21,0.19,1.36,6.08,1.36,0,6
141,Ruben Loftus-Cheek,eng ENG,MF,Chelsea,26-021,1996,7.7,50.5,57.1,88.4,856.1,180.8,23.6,26.1,90.5,22.1,24.4,90.4,3.51,4.29,81.8,0.26,0.1,0.16,0.65,4.42,1.3,0,5.19
142,Marcos Alonso,es ESP,DF,Chelsea,31-047,1990,15.9,42.6,56.1,75.9,749.4,275.5,20.4,23.1,88.3,17.1,20.9,81.7,4.03,8.99,44.8,0.13,0.18,-0.05,1.57,2.77,1.07,0.5,4.21
143,César Azpilicueta,es ESP,DF,Chelsea,32-169,1989,15.4,58.6,71.6,81.9,986.9,393.1,28.1,31.1,90.4,26.6,30.8,86.5,3.51,7.47,47,0.13,0.12,0.01,0.91,3.96,1.04,0.06,5.26
144,Trevoh Chalobah,eng ENG,DF,Chelsea,22-223,1999,10.1,60,66.5,90.2,1119.3,338.8,24,25.7,93.1,29.1,31.2,93.3,6.63,8.91,74.4,0,0,0,0,6.44,0.3,0,3.27
145,Ben Chilwell,eng ENG,DF,Chelsea,25-054,1996,6,44.2,57.2,77.3,701,192.3,22.3,24.3,91.8,18.2,21.8,83.2,2.67,7.83,34,0.17,0.15,0.02,1.67,1.17,1,0.17,2.17
146,Andreas Christensen,dk DEN,DF,Chelsea,25-309,1996,11.1,64.5,71.2,90.6,1323.1,386.8,21.3,22.9,92.9,31.3,33.8,92.5,11.1,13.2,84.2,0,0.01,-0.01,0.27,5.59,0.45,0,4.23
147,Reece James,eng ENG,DF,Chelsea,22-067,1999,12.4,62.4,73.9,84.5,1043.3,286.4,31.4,34.1,92,24.6,28.5,86.4,5.56,8.39,66.3,0.4,0.27,0.13,2.5,2.74,2.34,0.56,5.73
148,Emerson Palmieri,it ITA,DF,Chelsea,27-194,1994,0.1,10,20,50,80,0,10,10,100,0,0,,0,0,,0,0,0,0,0,0,0,0
149,Antonio Rüdiger,de GER,DF,Chelsea,28-347,1993,23,58.9,67.3,87.5,1262.6,387.7,17.1,18.3,93.3,31.7,34.1,93,9.7,14,69.5,0,0.04,-0.04,0.48,5.91,0.78,0.17,4.52
150,Malang Sarr,fr FRA,DF,Chelsea,23-021,1999,3,61,68,89.7,1115.7,292.3,22,22.7,97.1,31.3,32.3,96.9,6.33,10.7,59.4,0,0,0,0,2,0,0,1.67
151,Thiago Silva,br BRA,DF,Chelsea,37-144,1984,18.3,72.7,78.7,92.3,1576.2,538.7,21.4,22.2,96.3,37.8,39.6,95.4,13.1,16,81.8,0,0.01,-0.01,0.22,6.23,0.55,0,4.1
152,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-133,1994,4,28.8,34.8,82.7,690.8,323.5,7,7,100,14.8,14.8,100,6.75,12.8,52.9,0,0,0,0,0.25,0,0,0
153,Edouard Mendy,sn SEN,GK,Chelsea,29-349,1992,20,22.6,27.7,81.4,553.9,315.3,6.1,6.15,99.2,10.2,10.4,97.6,5.7,10.5,54.3,0,0,0,0,0.05,0,0,0
154,Jordan Ayew,gh GHA,FW,Crystal Palace,30-155,1991,15.9,26.5,35,75.9,405.8,79.5,15.1,16.9,89.2,9.12,11.6,78.8,1.7,3.96,42.9,0.13,0.13,-0.01,1.13,1.26,0.88,0.31,2.01
155,Christian Benteke,be BEL,FW,Crystal Palace,31-072,1990,12.1,16.2,23.1,70.3,247.3,44.1,9.26,12.1,76.2,4.71,7.44,63.3,1.49,2.15,69.2,0.08,0.09,-0.01,0.83,0.83,0.66,0,1.24
156,Odsonne Édouard,fr FRA,FW,Crystal Palace,24-028,1998,13.8,18,25.1,72,260.4,57.5,11.4,14.2,80.6,5.51,7.75,71,0.8,1.23,64.7,0.22,0.14,0.07,1.09,1.38,0.65,0.07,2.17
157,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24-230,1997,4.4,13.4,19.1,70.2,152.5,10.2,10.5,12.7,82.1,2.27,3.86,58.8,0.23,0.91,25,0.23,0.2,0.02,0.45,0.23,0,0,0
158,Wilfried Zaha,ci CIV,FW,Crystal Palace,29-095,1992,17.5,25,32.7,76.4,400.1,121.9,13,15.9,82,9.2,11.7,78.9,2.11,3.03,69.8,0.06,0.17,-0.11,1.31,1.03,2.4,0.46,4.29
159,Michael Olise,fr FRA,FWMF,Crystal Palace,20-063,2001,6.4,42.7,56.7,75.2,743.4,210,20.3,23.4,86.7,17.3,23,75.5,4.38,8.75,50,0.63,0.31,0.31,1.88,2.03,2.5,0.63,5.78
160,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23-229,1998,1.5,33.3,44.7,74.6,516,96,20.7,22.7,91.2,10,14,71.4,2,5.33,37.5,0,0.07,-0.07,0.67,1.33,0.67,0,2
161,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,29-052,1992,10.4,24.7,33.1,74.7,437.8,107.9,10.2,12.7,80.3,11.5,14.4,80,2.5,4.13,60.5,0.1,0.1,0,0.77,2.12,0.29,0.1,2.21
162,Conor Gallagher,eng ENG,MF,Crystal Palace,22-007,2000,20.4,30.2,38.9,77.7,543.5,133.3,14.1,16.1,87.8,11.4,13.6,83.5,3.92,7.35,53.3,0.15,0.16,-0.01,1.47,2.45,0.83,0.34,2.11
163,Will Hughes,eng ENG,MF,Crystal Palace,26-302,1995,8.1,37.2,46.4,80.1,713.1,159.3,15.2,17.4,87.2,16.7,18.3,91.2,4.81,9.14,52.7,0.12,0.07,0.05,0.86,2.35,0.86,0.37,2.35
164,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,32-054,1989,14.7,30.7,36.4,84.3,520.8,134,13.5,15.9,85,13.4,15.4,87.2,2.59,3.4,76,0.07,0.03,0.03,0.2,2.24,0.2,0.07,2.31
165,James McArthur,sct SCO,MF,Crystal Palace,34-129,1987,10.8,45.1,54.3,83.1,837.9,185.5,18.1,20.2,89.9,19.8,22.1,89.5,5.83,9.07,64.3,0.09,0.07,0.02,0.83,4.07,1.11,0.46,4.35
166,Luka Milivojević,rs SRB,MF,Crystal Palace,30-312,1991,6.3,48.6,60.8,79.9,948.4,262.9,16.8,19.2,87.6,22.9,26.7,85.7,7.14,12.2,58.4,0,0.1,-0.1,1.11,3.81,0.95,0.32,4.92
167,Jesuran Rak Sakyi,eng ENG,MF,Crystal Palace,19-131,2002,0.2,50,60,83.3,680,125,30,30,100,10,15,66.7,5,5,100,0,0,0,0,0,0,0,0
168,Jaïro Riedewald,nl NED,MF,Crystal Palace,25-157,1996,1.3,34.6,41.5,83.3,707.7,166.9,10,12.3,81.3,20,20.8,96.3,4.62,6.92,66.7,0,0.08,-0.08,1.54,2.31,0,0,3.08
169,Joachim Andersen,dk DEN,DF,Crystal Palace,25-258,1996,18.4,57.5,67.1,85.7,1458.4,419.3,10.9,11.9,91.3,30.4,32.1,94.6,16.1,22.7,71,0.05,0.04,0.01,0.49,4.24,0.22,0.05,2.66
170,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30-314,1991,1,29,43,67.4,456,256,16,17,94.1,12,18,66.7,1,7,14.3,0,0,0,0,1,0,0,0
171,Nathan Ferguson,eng ENG,DF,Crystal Palace,21-130,2000,0.1,30,50,60,230,200,10,10,100,0,0,,0,20,0,0,0,0,0,0,0,0,0
172,Marc Guéhi,eng ENG,DF,Crystal Palace,21-215,2000,23,55.6,63.3,87.8,1169.5,386.2,15.7,16.7,94,32.5,34.8,93.5,7.17,11.1,64.5,0,0,0,0.04,3.83,0.09,0,3.17
173,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22-165,1999,23.9,41.4,56,73.9,709,343.6,19,21.4,88.9,18.2,23.5,77.2,3.35,8.24,40.6,0.04,0.04,0,0.63,2.97,1.13,0.5,4.14
174,James Tomkins,eng ENG,DF,Crystal Palace,32-321,1989,6.1,45.4,51.6,87.9,1099.7,287,7.7,8.52,90.4,27.4,28.9,94.9,10.2,13.6,74.7,0,0.07,-0.07,0.33,0.82,0,0,1.48
175,Joel Ward,eng ENG,DF,Crystal Palace,32-107,1989,23,50,62.6,79.8,924.7,330.9,21.3,23.8,89.2,22.9,26.4,86.8,5.35,10.7,50.2,0,0.02,-0.02,0.26,3.3,0.61,0.17,2.74
176,Jack Butland,eng ENG,GK,Crystal Palace,28-340,1993,3,23,35,65.7,522,288.3,9.67,9.67,100,8.67,9.33,92.9,4.67,16,29.2,0,0,0,0,0.33,0,0,0
177,Vicente Guaita,es ESP,GK,Crystal Palace,35-034,1987,21,25.4,31.2,81.4,664.2,339.8,6.62,6.62,100,10.6,10.6,99.6,7.71,13.5,57.2,0,0,0,0,0.05,0,0,0
178,Dominic Calvert-Lewin,eng ENG,FW,Everton,24-334,1997,6.5,12.3,19.2,64,153.2,24.8,7.54,10.3,73.1,3.08,5.23,58.8,0.46,1.08,42.9,0,0.08,-0.08,1.08,0.31,0.31,0,0.77
179,Anwar El Ghazi,nl NED,FW,Everton,26-286,1995,0.1,50,60,83.3,640,260,40,50,80,0,0,,10,10,100,0,0,0,0,0,0,0,0
180,Moise Kean,it ITA,FW,Everton,21-350,2000,0,1,1,100,17,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0
181,Salomón Rondón,ve VEN,FW,Everton,32-150,1989,7.9,14.6,21.4,68,186.3,29.2,8.99,11.9,75.5,3.04,5.32,57.1,0.63,1.14,55.6,0,0.08,-0.08,0.76,0.89,0.13,0,0.38
182,Ellis Simms,eng ENG,FW,Everton,21-039,2001,0.7,12.9,22.9,56.3,158.6,20,8.57,14.3,60,4.29,8.57,50,0,0,,0,0,0,0,0,0,0,0
183,Cenk Tosun,tr TUR,FW,Everton,30-251,1991,0.1,20,20,100,370,0,10,10,100,10,10,100,0,0,,0,0,0,0,0,0,0,0
184,Lewis Dobbin,eng ENG,FWMF,Everton,19-041,2003,0.4,10,17.5,57.1,265,60,5,7.5,66.7,0,2.5,0,5,7.5,66.7,0,0,0,0,2.5,0,0,2.5
185,Richarlison,br BRA,FWMF,Everton,24-279,1997,13.2,12.6,18.3,68.6,191.6,46.8,6.21,8.18,75.9,5,6.14,81.5,0.68,1.44,47.4,0.23,0.14,0.08,1.21,0.91,0.61,0.08,1.44
186,Anthony Gordon,eng ENG,MFFW,Everton,20-354,2001,12.1,22,31.4,70,359.7,108.3,11.2,13.8,80.8,6.94,9.34,74.3,2.48,4.88,50.8,0.17,0.13,0.03,1.32,1.32,1.07,0.5,2.73
187,Demarai Gray,eng ENG,MFFW,Everton,25-230,1996,17,20.6,28.9,71.5,388.6,83.4,8.71,10.2,85.1,7.71,9.94,77.5,3.18,6.24,50.9,0.12,0.15,-0.04,1.65,0.76,1.06,0.41,1.65
188,Alex Iwobi,ng NGA,MFFW,Everton,25-286,1996,8.9,24.6,30.6,80.5,396.3,119.1,12.6,14,89.6,8.54,10.7,80,2.13,3.48,61.3,0.11,0.15,-0.03,1.69,1.8,1.01,0.34,2.81
189,Tyler Onyango,eng ENG,MFFW,Everton,18-346,2003,0.3,0,3.33,0,0,0,0,0,,0,3.33,0,0,0,,0,0,0,0,0,0,0,0
190,Allan,br BRA,MF,Everton,31-036,1991,18.1,30.7,39.6,77.5,590.8,177,11.4,13.4,85.1,14.1,17.2,82.3,4.25,6.8,62.6,0.11,0.03,0.08,0.72,3.59,0.83,0.11,4.75
191,Dele Alli,eng ENG,MF,Everton,25-308,1996,0.9,27.8,40,69.4,403.3,145.6,11.1,16.7,66.7,8.89,12.2,72.7,2.22,3.33,66.7,0,0.11,-0.11,4.44,3.33,1.11,0,4.44
192,Donny van de Beek,nl NED,MF,Everton,24-301,1997,1.3,56.2,60,93.6,914.6,306.2,25.4,25.4,100,23.8,23.8,100,4.62,6.92,66.7,0,0,0,0.77,6.92,1.54,0,7.69
193,Tom Davies,eng ENG,MF,Everton,23-228,1998,1.8,25.6,32.8,78,405.6,96.7,11.7,12.2,95.5,10.6,12.8,82.6,1.67,3.33,50,0,0,0,0,1.11,0.56,0,3.89
194,Fabian Delph,eng ENG,MF,Everton,32-084,1989,2.8,37.9,44.6,84.8,803.6,208.6,17.9,19.3,92.6,11.8,13.9,84.6,8.21,10.4,79.3,0,0,0,0.36,4.29,0.36,0,4.64
195,Abdoulaye Doucouré,fr FRA,MF,Everton,29-043,1993,15.7,31,39.6,78.3,532.7,121.7,14.9,17.8,83.6,12.2,14.6,83.4,2.87,4.39,65.2,0.25,0.08,0.18,0.64,3.06,0.83,0.06,3.69
196,Jean-Philippe Gbamin,ci CIV,MF,Everton,26-141,1995,0.7,22.9,30,76.2,320,28.6,17.1,20,85.7,4.29,7.14,60,1.43,2.86,50,0,0,0,0,0,0,0,0
197,André Gomes,pt POR,MF,Everton,28-198,1993,5.1,31.4,41,76.6,596.5,173.9,14.5,16.5,88.1,11.8,14.1,83.3,4.51,7.84,57.5,0.2,0.04,0.16,0.78,4.12,0.59,0,2.75
198,Andros Townsend,eng ENG,MF,Everton,30-212,1991,15.7,20.8,30,69.4,367.9,129.6,9.68,11.5,84.4,8.54,10.9,78.4,2.36,6.05,38.9,0.13,0.15,-0.03,1.85,1.08,1.78,0.83,2.93
199,Jarrad Branthwaite,eng ENG,DF,Everton,19-231,2002,1.6,23.8,35,67.9,379.4,173.8,12.5,14.4,87,9.38,12.5,75,1.25,6.25,20,0,0,0,0,0.63,0,0,1.88
200,Séamus Coleman,ie IRL,DF,Everton,33-125,1988,16.6,35.4,47.9,74,628.8,316.1,16.6,18.9,87.6,14.2,19.2,73.9,4.16,8.37,49.6,0,0.05,-0.05,0.48,3.92,1.02,0.48,3.61
201,Lucas Digne,fr FRA,DF,Everton,28-208,1993,13,37.5,52.2,71.8,657.5,329,16.8,20.2,83.6,16.2,20.6,78.7,3.23,8,40.4,0,0.13,-0.13,1.54,2.23,0.92,0.31,3.77
202,Ben Godfrey,eng ENG,DF,Everton,24-029,1998,16.5,26.6,35.2,75.7,502.7,190.8,10.1,11.9,84.7,13.2,16.9,77.8,2.97,5.21,57,0,0.04,-0.04,0.73,2.24,0.79,0.42,1.58
203,Mason Holgate,eng ENG,DF,Everton,25-114,1996,9.8,25.1,36.4,68.9,603.7,178.7,6.63,8.06,82.3,11.7,16,73.2,6.53,12.1,53.8,0,0,0,0,1.33,0.1,0,1.63
204,Michael Keane,eng ENG,DF,Everton,29-033,1993,21,29.5,38.4,76.8,718.4,237,8.33,9.67,86.2,13,15.7,83.3,7.9,12.5,63.1,0.1,0.03,0.07,0.19,3,0.19,0,2.57
205,Jonjoe Kenny,eng ENG,DF,Everton,24-335,1997,4,29.5,42.5,69.4,587,238.8,12.5,13.5,92.6,11.8,17.5,67.1,4.75,9.5,50,0.25,0.05,0.2,1,3.25,0.75,0.5,3
206,Yerry Mina,co COL,DF,Everton,27-143,1994,7.2,32.2,39,82.6,712.2,201.4,9.31,10.7,87,14.7,17.5,84.1,6.94,8.75,79.4,0,0,0,0,2.08,0,0,1.53
207,Vitaliy Mykolenko,ua UKR,DF,Everton,22-260,1999,1,47,59,79.7,730,196,26,28,92.9,18,23,78.3,3,7,42.9,0,0,0,0,2,0,0,4
